id,name,value,category
0,User0,67,C
1,User1,15,C
2,User2,96,A
3,User3,16,C
4,User4,18,C
5,User5,75,C
6,User6,70,A
7,User7,84,C
8,User8,59,C
9,User9,25,C
10,User10,55,C
11,User11,74,C
12,User12,23,A
13,User13,79,A
14,User14,81,C
15,User15,72,B
16,User16,83,A
17,User17,36,A
18,User18,83,C
19,User19,32,C
20,User20,94,A
21,User21,76,A
22,User22,100,A
23,User23,73,B
24,User24,54,A
25,User25,51,B
26,User26,80,C
27,User27,13,C
28,User28,74,C
29,User29,46,C
30,User30,67,C
31,User31,18,B
32,User32,33,B
33,User33,39,A
34,User34,11,A
35,User35,73,B
36,User36,100,B
37,User37,30,B
38,User38,98,A
39,User39,96,C
40,User40,82,A
41,User41,67,C
42,User42,31,B
43,User43,53,C
44,User44,26,B
45,User45,100,B
46,User46,54,C
47,User47,91,B
48,User48,84,A
49,User49,58,B
50,User50,68,C
51,User51,0,C
52,User52,82,C
53,User53,12,B
54,User54,75,A
55,User55,88,A
56,User56,78,B
57,User57,52,C
58,User58,36,A
59,User59,13,C
60,User60,95,B
61,User61,55,B
62,User62,68,C
63,User63,10,C
64,User64,26,B
65,User65,80,B
66,User66,77,A
67,User67,58,A
68,User68,72,A
69,User69,12,A
70,User70,48,B
71,User71,84,B
72,User72,75,C
73,User73,1,B
74,User74,58,A
75,User75,37,B
76,User76,4,C
77,User77,93,A
78,User78,34,A
79,User79,5,A
80,User80,57,C
81,User81,54,B
82,User82,16,C
83,User83,85,A
84,User84,31,A
85,User85,53,B
86,User86,95,A
87,User87,1,B
88,User88,76,C
89,User89,91,A
90,User90,74,B
91,User91,45,C
92,User92,62,B
93,User93,39,C
94,User94,64,C
95,User95,52,C
96,User96,39,C
97,User97,16,C
98,User98,65,B
99,User99,74,C
100,User100,5,B
101,User101,78,B
102,User102,8,B
103,User103,60,C
104,User104,31,B
105,User105,73,A
106,User106,17,C
107,User107,59,B
108,User108,87,C
109,User109,64,A
110,User110,40,B
111,User111,31,C
112,User112,5,B
113,User113,36,C
114,User114,27,A
115,User115,44,A
116,User116,100,A
117,User117,27,C
118,User118,31,C
119,User119,6,C
120,User120,29,B
121,User121,4,C
122,User122,15,C
123,User123,23,A
124,User124,90,B
125,User125,46,A
126,User126,89,C
127,User127,92,B
128,User128,83,B
129,User129,25,A
130,User130,8,C
131,User131,50,A
132,User132,57,C
133,User133,7,A
134,User134,11,A
135,User135,41,B
136,User136,33,C
137,User137,61,C
138,User138,62,B
139,User139,42,B
140,User140,68,B
141,User141,6,B
142,User142,69,B
143,User143,16,C
144,User144,76,A
145,User145,42,B
146,User146,68,A
147,User147,46,C
148,User148,40,B
149,User149,71,C
